codigo_tuss,produto,produto_tratado,laboratorio,valor
90323246,CAPECITABINA GEN.150MG 120CPDS REV. SUN,CAPECITABINA 150mg,FARMACEUTICA,4.549
90323246,CAPECITABINA GEN.150MG 60CPDS REV. SUN,CAPECITABINA 150mg,FARMACEUTICA,9.1528
90323300,CAPECITABINA GEN.500MG 120CPDS REV. SUN,CAPECITABINA 500mg,FARMACEUTICA,14.4994
90124073,CAPILAREMA 75 MG CX. 30 CPRS.,CAPILAREMA 75mg,BALDACCI,1.1968
90229657,CAPILAREMA 75 MG. CX. 60 CPRS.,CAPILAREMA 75mg,BALDACCI,1.0678
90348184,CAPOTRINEO 25 MG. CX. 30 CPRS. NEO,CAPOTRINEO 25mg,QUIMICA,0.663
90348192,CAPOTRINEO 50 MG. CX. 30 CPRS. NEO,CAPOTRINEO 50mg,QUIMICA,1.4346
90079035,CAPOX 25 MG. CX. 30 CPRS.,CAPOX 25mg,GEOLAB,0.2193
90079051,CAPOX 50 MG. CX. 30 CPRS.,CAPOX 50mg,GEOLAB,0.4383
90163702,CAPTOLAB 25 MG. 30 CPRS.,CAPTOLAB 25mg,MULTILAB,0.4039
90163710,CAPTOLAB 25 MG. 60 CPRS.,CAPTOLAB 25mg,MULTILAB,0.31
90163737,CAPTOLAB 50 MG. 30 CPRS.,CAPTOLAB 50mg,MULTILAB,0.5957
90258894,CAPTOPRIL - GENERICO (RESTRITO HOSP.) 25 MG. BL. 100 CPRS. ( TEUTO,CAPTOPRIL 25mg,BRAS.,0.3885
90321618,CAPTOPRIL - GENERICO (RESTRITO HOSP.) 25 MG. COM. CT. BL. AL. PRATI,CAPTOPRIL 25mg,DONADUZZI,0.2031
90178920,CAPTOPRIL - GENERICO (RESTRITO HOSP.) 25 MG. COM. CT. BL. AL. PRATI,CAPTOPRIL 25mg,DONADUZZI,0.6199
90340256,CAPTOPRIL - GENERICO (RESTRITO HOSP.) 25 MG. CX. 500 CPRS. (,CAPTOPRIL 25mg,MEDQUIMICA,0.2585
90178947,CAPTOPRIL - GENERICO (RESTRITO HOSP.) 50 MG. COM. CT. BL. AL PRATI,CAPTOPRIL 50mg,DONADUZZI,1.1465
90321626,CAPTOPRIL - GENERICO (RESTRITO HOSP.) 50 MG. COM. CT. BL. AL. PRATI,CAPTOPRIL 50mg,DONADUZZI,0.5297
90334744,CAPTOPRIL - GENERICO (RESTRITO HOSP.) CX. 500 CPRS.,CAPTOPRIL 500mg,BRASTERAPICA,0.0389
90352041,"CAPTOPRIL - GENERICO 12,5 MG. 1 BL. AL. PLAST. X 30 CPRS.",CAPTOPRIL 12.5mg,MEDLEY,0.1918
90053222,"CAPTOPRIL - GENERICO 12,5 MG. 2 BL. X 15 CPRS.",CAPTOPRIL 12.5mg,EMS,0.5258
90082192,"CAPTOPRIL - GENERICO 12,5 MG. 2 BL. X 15 CPRS.",CAPTOPRIL 12.5mg,GERMED,0.4036
90135954,"CAPTOPRIL - GENERICO 12,5 MG. 30 CPRS. TEUTO",CAPTOPRIL 12.5mg,BRAS.,0.2544
90045327,CAPTOPRIL - GENERICO 25 MG 3 BL. X 10 CPRS.,CAPTOPRIL 25mg,CRISTALIA,1.0216
90354990,CAPTOPRIL - GENERICO 25 MG COM CT BL AL PLAS INC X 30,CAPTOPRIL 25mg,PHARLAB,0.1067
90352084,CAPTOPRIL - GENERICO 25 MG. 1 BL. AL. PLAST. X 30 CPRS.,CAPTOPRIL 25mg,MEDLEY,0.2061
90352092,CAPTOPRIL - GENERICO 25 MG. 2 BL. AL. PLAST. X 30 CPRS.,CAPTOPRIL 25mg,MEDLEY,0.2188
90053249,CAPTOPRIL - GENERICO 25 MG. 2 BL. X 15 CPRS.,CAPTOPRIL 25mg,EMS,0.8571
90082206,CAPTOPRIL - GENERICO 25 MG. 2 BL. X 15 CPRS.,CAPTOPRIL 25mg,GERMED,0.7469
90359461,CAPTOPRIL - GENERICO 25 MG. 2 BL. X 15 CPRS. GEN -,CAPTOPRIL 25mg,LEGRAND,0.2085
90135962,CAPTOPRIL - GENERICO 25 MG. 30 CPRS. TEUTO,CAPTOPRIL 25mg,BRAS.,0.0919
90053257,CAPTOPRIL - GENERICO 25 MG. 4 BL. X 15 CPRS.,CAPTOPRIL 25mg,EMS,0.6293
90207076,CAPTOPRIL - GENERICO 25 MG. BL. 30 CPRS. UNIAO,CAPTOPRIL 25mg,QUIMICA,0.7786
90018206,CAPTOPRIL - GENERICO 25 MG. BL. 30 CPRS. AUROBINDO,CAPTOPRIL 25mg,PHARMA,0.38
90258916,CAPTOPRIL - GENERICO 25 MG. BL. 60 CPRS. TEUTO,CAPTOPRIL 25mg,BRAS.,0.0919
90190432,CAPTOPRIL - GENERICO 25 MG. C/30,CAPTOPRIL 25mg,SANDOZ,0.7809
90178912,CAPTOPRIL - GENERICO 25 MG. COM. CT. BL. AL. PLAS. INC. X 30 PRATI,CAPTOPRIL 25mg,DONADUZZI,0.0979
90237366,CAPTOPRIL - GENERICO 25 MG. COM. CT. BL. AL. PLAS. TRANS. X PRATI,CAPTOPRIL 25mg,DONADUZZI,0.8109
90425359,CAPTOPRIL - GENERICO 25 MG. CT. BL. AL. PLAS. TRANS. 30 CPRS.,CAPTOPRIL 25mg,GEOLAB,0.2191
90340906,CAPTOPRIL - GENERICO 25 MG. CT. BL. AL. PLAS. X 30 CPRS.,CAPTOPRIL 25mg,MULTILAB,0.324
90340906,CAPTOPRIL - GENERICO 25 MG. CT. BL. AL. PLAS. X 30 CPRS.,CAPTOPRIL 25mg,MULTILAB,0.324
90359470,CAPTOPRIL - GENERICO 25 MG. CX. 30 CPRS. NEO,CAPTOPRIL 25mg,QUIMICA,0.2085
90340230,CAPTOPRIL - GENERICO 25 MG. CX. 30 CPS.,CAPTOPRIL 25mg,MEDQUIMICA,0.344
90340248,CAPTOPRIL - GENERICO 25 MG. CX. 60 CPS.,CAPTOPRIL 25mg,MEDQUIMICA,0.3021
90355008,CAPTOPRIL - GENERICO 50 MG COM CT BL AL PLAS INC X 30,CAPTOPRIL 50mg,PHARLAB,0.5327
90053273,CAPTOPRIL - GENERICO 50 MG CX. 30 CPRS.,CAPTOPRIL 50mg,EMS,1.5458
90352122,CAPTOPRIL - GENERICO 50 MG. 1 BL. AL. PLAST. X 30 CPRS.,CAPTOPRIL 50mg,MEDLEY,0.5731
90352130,CAPTOPRIL - GENERICO 50 MG. 2 BL. AL. PLAST. X 30 CPRS.,CAPTOPRIL 50mg,MEDLEY,0.8135
90082214,CAPTOPRIL - GENERICO 50 MG. 2 BL. X 15 CPRS.,CAPTOPRIL 50mg,GERMED,0.9677
90359488,CAPTOPRIL - GENERICO 50 MG. 2 BL. X 15 CPRS. GEN -,CAPTOPRIL 50mg,LEGRAND,1.0656
90135970,CAPTOPRIL - GENERICO 50 MG. 30 CPRS. TEUTO,CAPTOPRIL 50mg,BRAS.,0.7879
90053281,CAPTOPRIL - GENERICO 50 MG. 4 BL. X 15 CPRS.,CAPTOPRIL 50mg,EMS,1.1212
90178939,CAPTOPRIL - GENERICO 50 MG. COM. CT. BL. AL. PLAS. INC. X 30 PRATI,CAPTOPRIL 50mg,DONADUZZI,0.8428
90425405,CAPTOPRIL - GENERICO 50 MG. CT. BL. AL. PLAS. TRANS. 30 CPRS.,CAPTOPRIL 50mg,GEOLAB,0.4379
90340868,CAPTOPRIL - GENERICO 50 MG. CT. BL. AL. PLAS. TRANS. X 30 CPR,CAPTOPRIL 50mg,MULTILAB,0.474
90340868,CAPTOPRIL - GENERICO 50 MG. CT. BL. AL. PLAS. TRANS. X 30 CPR,CAPTOPRIL 50mg,MULTILAB,0.474
90359496,CAPTOPRIL - GENERICO 50 MG. CX. 30 CPRS. NEO,CAPTOPRIL 50mg,QUIMICA,1.354
90334736,CAPTOPRIL - GENERICO CX. 30 CPRS,CAPTOPRIL 30mg,BRASTERAPICA,0.2257
90321618,CAPTOPRIL GEN.25MG 300CPDS,CAPTOPRIL 25mg,PRATI-DONADUZZI,0.2011
90321626,CAPTOPRIL GEN.50MG 300CPDS,CAPTOPRIL 50mg,PRATI-DONADUZZI,0.5244
90175603,CAPTOSEN 25 MG COM CT BL AL PLAS INC X 30,CAPTOSEN 25mg,PHARLAB,0.4987
90175620,CAPTOSEN 50 MG COM CT BL AL PLAS INC X 30,CAPTOSEN 50mg,PHARLAB,0.8197
90198786,CARBAMAZEPINA - GENERICO (RESTRITO HOSP.) 20 MG/ML. SUSP. OR.,CARBAMAZEPINA 20mg,SANVAL,11.4702
90135997,CARBAMAZEPINA - GENERICO (RESTRITO HOSP.) 200 MG. BL. 50 CPR TEUTO,CARBAMAZEPINA 200mg,BRAS.,0.4384
90136004,CARBAMAZEPINA - GENERICO (RESTRITO HOSP.) 200 MG. BL. 500 CP TEUTO,CARBAMAZEPINA 200mg,BRAS.,0.4385
90348346,CARBAMAZEPINA - GENERICO (RESTRITO HOSP.) 200 MG. CX. BL. AL NEO,CARBAMAZEPINA 200mg,QUIMICA,0.4712
90198760,CARBAMAZEPINA - GENERICO (RESTRITO HOSP.) 200 MG. CX. BL. AL.,CARBAMAZEPINA 200mg,SANVAL,0.5103
90136039,CARBAMAZEPINA - GENERICO (RESTRITO HOSP.) 400 MG. BL. 500 CP TEUTO,CARBAMAZEPINA 400mg,BRAS.,0.8772
90207157,CARBAMAZEPINA - GENERICO 20 MG/ML SUSP. ORAL FR. 100 ML UNIAO,CARBAMAZEPINA 2000mg,QUIMICA,12.07
90082222,CARBAMAZEPINA - GENERICO 200 MG. 2 BL. X 10,CARBAMAZEPINA 200mg,GERMED,0.4935
90207122,CARBAMAZEPINA - GENERICO 200 MG. 30 CPRS. UNIAO,CARBAMAZEPINA 200mg,QUIMICA,0.5265
90125665,CARBAMAZEPINA - GENERICO 200 MG. 30 CPRS.,CARBAMAZEPINA 200mg,BIOSINTETICA,0.4459
90339622,CARBAMAZEPINA - GENERICO 200 MG. 30 CPRS. TEUTO,CARBAMAZEPINA 200mg,BRAS.,0.438
90053311,CARBAMAZEPINA - GENERICO 200 MG. CX. 20 CPRS.,CARBAMAZEPINA 200mg,EMS,0.3725
90359500,CARBAMAZEPINA - GENERICO 200 MG. CX. 20 CPRS. NEO,CARBAMAZEPINA 200mg,QUIMICA,0.515
90359518,CARBAMAZEPINA - GENERICO 200 MG. CX. 30 CPRS. NEO,CARBAMAZEPINA 200mg,QUIMICA,0.4702
90353137,CARBAMAZEPINA - GENERICO 200 MG. X 30,CARBAMAZEPINA 200mg,MEDLEY,0.4769
90353145,CARBAMAZEPINA - GENERICO 200 MG. X 60,CARBAMAZEPINA 200mg,MEDLEY,0.4795
90082230,CARBAMAZEPINA - GENERICO 400 MG. 2 BL. X 10,CARBAMAZEPINA 400mg,GERMED,0.79
90339614,CARBAMAZEPINA - GENERICO 400 MG. 30 CPRS. TEUTO,CARBAMAZEPINA 400mg,BRAS.,0.8783
90328612,CARBAMAZEPINA - GENERICO 400 MG. CX. 20 CPRS.,CARBAMAZEPINA 400mg,EMS,0.9125
90136012,CARBAMAZEPINA - GENERICO 400 MG. CX. 20 CPRS. TEUTO,CARBAMAZEPINA 400mg,BRAS.,0.878
90353153,CARBAMAZEPINA - GENERICO 400 MG. X 20,CARBAMAZEPINA 400mg,MEDLEY,0.896
90353161,CARBAMAZEPINA - GENERICO 400 MG. X 30,CARBAMAZEPINA 400mg,MEDLEY,0.8954
90353102,CARBAMAZEPINA - GENERICO SUSP. FR. 100 ML,CARBAMAZEPINA 100mg,MEDLEY,12.07
90348346,CARBAMAZEPINA GEN.200MG 200CPDS(EMB.HOSP),CARBAMAZEPINA 200mg,NEOQUIMICA,0.4712
90339622,CARBAMAZEPINA GEN.200MG 30CPDS TEUTO,CARBAMAZEPINA 200mg,BRAS,0.4376
90339614,CARBAMAZEPINA GEN.400MG 30CPDS TEUTO,CARBAMAZEPINA 400mg,BRAS,0.8775
90415248,"CARBAZITAXEL 60MG SOL.INJ.1,5ML+DIL.4,5ML",CARBAZITAXEL 60mg,ACCORD,11956.52
90312376,CARBIDOL (RESTRITO HOSP.) 25 MG. + 250 MG. BL. AL. PLAS. TRA TEUTO,CARBIDOL 25mg,BRAS.,1.5958
90258479,CARBIDOL (RESTRITO HOSP.) 25/250 MG. CX. 50 CPRS. (HOSP.) TEUTO,CARBIDOL 25mg,BRAS.,1.5958
90312368,CARBIDOL 25 ML/250 MG. CX. 30 CPRS. TEUTO,CARBIDOL 25mg,BRAS.,1.5947
90312368,CARBIDOL 25+250MG BL.AL.PVDC 30CPDS TEUTO,CARBIDOL 25mg,BRAS,1.5947
90312376,CARBIDOL 25+250MG BL.AL.PVDC 50CPDS(EMB.HOSP.) TEUTO,CARBIDOL 25mg,BRAS,1.5958
90229010,CARBITAL (RESTRITO HOSP.) 200 MG/ML SOL. INJ. 60 AMPS. VD. X TEUTO,CARBITAL 200mg,BRAS.,1.4237
90363175,CARBITAL (RESTRITO HOSP.) 200 MG/ML SOL. INJ. CT. 120 AMPS. TEUTO,CARBITAL 200mg,BRAS.,1.2918
90363175,CARBITAL 200MG 120AMP 1ML(EMB.HOSP.) TEUTO,CARBITAL 200mg,BRAS,1.2867
90258886,CARBOCISTEINA - GENERICO (LIBERADO) XPE. AD. 50 MG/ML CX. 1 TEUTO,CARBOCISTEINA 50mg,BRAS.,19.75
90258878,CARBOCISTEINA - GENERICO (LIBERADO) XPE. PED. 20 MG/ML CX. 1 TEUTO,CARBOCISTEINA 20mg,BRAS.,13.04
90273869,CARBOCISTEINA - GENERICO (RESTRITO HOSP.) 50 MG/ML XPE. CX. PRATI,CARBOCISTEINA 50mg,DONADUZZI,3.948
90268342,CARBOCISTEINA - GENERICO 100 MG/ML XPE. FR. VD. 100 ML + CP.,CARBOCISTEINA 10000mg,BIOSINTETICA,11.99
90275209,CARBOCISTEINA - GENERICO 20 MG/ML XPE. FR. 100 ML NOVA,CARBOCISTEINA 2000mg,QUIMICA,12.77
90273834,CARBOCISTEINA - GENERICO 20 MG/ML. XPE. CT. FR. PLAS. OPC. X PRATI,CARBOCISTEINA 20mg,DONADUZZI,13.93
90268334,CARBOCISTEINA - GENERICO 250 MG/ML XPE. FR. VD. 100 ML + CP.,CARBOCISTEINA 25000mg,BIOSINTETICA,17.99
90053346,CARBOCISTEINA - GENERICO 50 MG/ML SOL. ORAL FR. X 20 ML,CARBOCISTEINA 1000mg,EMS,10.7
90082273,CARBOCISTEINA - GENERICO 50 MG/ML XPE. AD. FR. 100 ML,CARBOCISTEINA 5000mg,GERMED,14.08
90275217,CARBOCISTEINA - GENERICO 50 MG/ML XPE. FR. 100 ML NOVA,CARBOCISTEINA 5000mg,QUIMICA,19.32
90273850,CARBOCISTEINA - GENERICO 50 MG/ML. XPE. CT. FR. PLAS. OPC. X PRATI,CARBOCISTEINA 50mg,DONADUZZI,17.07
90279506,CARBOCISTEINA - GENERICO XPE AD. 50 MG/ML. FR. X 100 ML.,CARBOCISTEINA 5000mg,GEOLAB,19.55
90279492,CARBOCISTEINA - GENERICO XPE INF. 20 MG/ML. FR. X 100 ML.,CARBOCISTEINA 2000mg,GEOLAB,13.38
90374452,CARBOCISTEINA - GENERICO XPE. AD. 50 MG/ML FR. 100 ML + CP. NEO,CARBOCISTEINA 5000mg,QUIMICA,22.2
90256212,CARBOCISTEINA - GENERICO XPE. AD. FR. 100 ML,CARBOCISTEINA 100mg,EMS,19.46
90374444,CARBOCISTEINA - GENERICO XPE. INF. 20 MG/ML FR. 100 ML + CP. NEO,CARBOCISTEINA 2000mg,QUIMICA,15.34
90256204,CARBOCISTEINA - GENERICO XPE. INF. FR. 100 ML,CARBOCISTEINA 100mg,EMS,13.44
90066871,CARBOLITIUM 300 MG. BL. 25 CPRS. REV.,CARBOLITIUM 300mg,EUROFARMA,0.586
90066880,CARBOLITIUM 300 MG. BL. 50 CPRS. REV.,CARBOLITIUM 300mg,EUROFARMA,0.5876
90066898,CARBOLITIUM CR 450 MG. 3 BL. X 10 CPRS.,CARBOLITIUM 450mg,EUROFARMA,1.3623
90250982,CARBOLITIUM CR 450 MG. BL. 10 CPRS.,CARBOLITIUM 450mg,EUROFARMA,1.364
90096029,CARBONATO DE LITIO - GENERICO (RESTRITO HOSP.) 300 MG. CT. B,CARBONATO 300mg,HIPOLABOR,0.3818
90002032,CARBOPLATINA - GENERICO (RESTRITO HOSP.) 10 MG/ML SOL. INJ.,CARBOPLATINA 10mg,ACCORD,386.04
90002040,CARBOPLATINA - GENERICO (RESTRITO HOSP.) 10 MG/ML SOL. INJ.,CARBOPLATINA 10mg,ACCORD,1000.29
90328418,"CARDBET 12,5 MG. 2 BL. X 15 CPRS. NOVA",CARDBET 12.5mg,QUIMICA,0.8884
90328426,CARDBET 25 MG. 2 BL. X 15 CPRS. NOVA,CARDBET 25mg,QUIMICA,1.2621
90328396,"CARDBET 3,125 MG. 2 BL. X 15 CPRS. NOVA",CARDBET 3.12mg,QUIMICA,0.6597
90328400,"CARDBET 6,25 MG. 2 BL. X 15 CPRS. NOVA",CARDBET 6.25mg,QUIMICA,0.7669
90362659,"CARDCOR 0,25 MG. 20 CPRS. TEUTO",CARDCOR 0.25mg,BRAS.,0.336
90339550,"CARDCOR 0,25 MG. 30 CPRS. TEUTO",CARDCOR 0.25mg,BRAS.,0.305
90339550,"CARDCOR 0,25MG 30CPDS TEUTO",CARDCOR 0.25mg,BRAS,0.305
90143949,"CARDILOL 12,5 MG. X 30 CPRS.",CARDILOL 12.5mg,LIBBS,0.8378
90143930,"CARDILOL 12,5 MG. X 60 CPRS.",CARDILOL 12.5mg,LIBBS,0.7927
90143981,CARDILOL 25 MG. X 30 CPRS.,CARDILOL 25mg,LIBBS,1.3613
90143965,CARDILOL 25 MG. X 60 CPRS.,CARDILOL 25mg,LIBBS,1.0321
90143990,"CARDILOL 3,125 MG. X 30 CPRS.",CARDILOL 3.12mg,LIBBS,0.8378
90144031,"CARDILOL 6,25 MG. X 30 CPRS.",CARDILOL 6.25mg,LIBBS,0.8378
90144023,"CARDILOL 6,25 MG. X 60 CPRS.",CARDILOL 6.25mg,LIBBS,0.7927
90214714,CARDIOXANE (RESTRITO HOSP.) 500 MG. PO LIOF. INJ. 1 FA,CARDIOXANE 500mg,ZODIAC,1276.02
90032837,CARDIZEM 30 MG. 50 CPRS. BOEHRINGER,CARDIZEM 30mg,INGELHEI,0.4346
90032853,CARDIZEM 60 MG. 1 X 50 CPRS. BOEHRINGER,CARDIZEM 60mg,INGELHEI,0.8258
90032861,CARDIZEM CD 180 MG. BL. 16 CAPS. GEL. DURA BOEHRINGER,CARDIZEM 180mg,INGELHEI,3.08
90032870,CARDIZEM CD 240 MG. BL. 16 CAPS. GEL. DURA BOEHRINGER,CARDIZEM 240mg,INGELHEI,3.6569
90032888,CARDIZEM SR 120 MG. 20 CAPS. BOEHRINGER,CARDIZEM 120mg,INGELHEI,2.091
90032896,CARDIZEM SR 90 MG. 20 CAPS. BOEHRINGER,CARDIZEM 90mg,INGELHEI,1.6075
90382021,CARDURAN XL 4 MG. BL. X 30,CARDURAN 4mg,WYETH,8.177
90382021,CARDURAN XL 4 MG. BL. X 30,CARDURAN 4mg,WYETH,8.177
90329937,CARLIT 300 MG. BL. 25 CPRS. REV. SUPERA,CARLIT 300mg,RX,0.5676
90329945,CARLIT 300 MG. BL. 50 CPRS. REV. SUPERA,CARLIT 300mg,RX,0.5674
90329937,CARLIT 300MG 25CPDS REV.,CARLIT 300mg,SUPERA,0.5676
90329945,CARLIT 300MG 50CPDS REV.,CARLIT 300mg,SUPERA,0.5674
90329910,CARLIT XR 450 MG. BL. 10 CPRS. LIB. PROL. SUPERA,CARLIT 450mg,RX,1.364
90329929,CARLIT XR 450 MG. BL. 30 CPRS. LIB. PROL. SUPERA,CARLIT 450mg,RX,1.3637
90329910,CARLIT XR 450MG 10CPDS REV.LIB.PROLONG.,CARLIT 450mg,SUPERA,1.364
90329929,CARLIT XR 450MG 30CPDS REV.LIB.PROLONG.,CARLIT 450mg,SUPERA,1.3623
90003292,CARNABOL CX. 20 CPRS.,CARNABOL 20mg,ACHE,0.6335
90061187,CARVEDILAT 25 MG. 3 BL. X 10 SIGMA,CARVEDILAT 25mg,PHARMA,1.4083
90386027,"CARVEDILAT 3,125 MG. 3 BL. X 10 SIGMA",CARVEDILAT 3.12mg,PHARMA,0.8815
90386035,"CARVEDILAT 6,25 MG. 3 BL. X 10 SIGMA",CARVEDILAT 6.25mg,PHARMA,1.0223
90256727,"CARVEDILOL - GENERICO 12,5 MG. 2 BL. X 15 CPRS.",CARVEDILOL 12.5mg,EMS,1.1106
90275578,"CARVEDILOL - GENERICO 12,5 MG. 2 BL. X 15 CPRS. NOVA",CARVEDILOL 12.5mg,QUIMICA,1.1106
90384040,"CARVEDILOL - GENERICO 12,5 MG. 2 BL. X 15 CPRS.",CARVEDILOL 12.5mg,GERMED,1.1106
90388135,"CARVEDILOL - GENERICO 12,5 MG. 2 BL. X 15 CPRS. GEN -",CARVEDILOL 12.5mg,LEGRAND,1.1106
90383206,"CARVEDILOL - GENERICO 12,5 MG. 4 BL. X 15 CPRS. NOVA",CARVEDILOL 12.5mg,QUIMICA,1.0027
90384059,"CARVEDILOL - GENERICO 12,5 MG. 4 BL. X 15 CPRS.",CARVEDILOL 12.5mg,GERMED,1.0027
90388143,"CARVEDILOL - GENERICO 12,5 MG. 4 BL. X 15 CPRS. GEN -",CARVEDILOL 12.5mg,LEGRAND,1.0027
90125681,"CARVEDILOL - GENERICO 12,5 MG. BL. 15 CPRS.",CARVEDILOL 12.5mg,BIOSINTETICA,1.5975
90125690,"CARVEDILOL - GENERICO 12,5 MG. BL. 30 CPRS.",CARVEDILOL 12.5mg,BIOSINTETICA,1.1102
90256719,"CARVEDILOL - GENERICO 12,5 MG. BL. X 15 CPRS.",CARVEDILOL 12.5mg,EMS,1.5975
90275560,"CARVEDILOL - GENERICO 12,5 MG. BL. X 15 CPRS. NOVA",CARVEDILOL 12.5mg,QUIMICA,1.5975
90283970,"CARVEDILOL - GENERICO 12,5 MG. BL. X 15 CPRS. GEN -",CARVEDILOL 12.5mg,LEGRAND,1.5975
90261933,"CARVEDILOL - GENERICO 12,5 MG. CT. BL. AL/AL X 30 CPRS.",CARVEDILOL 12.5mg,TORRENT,0.9504
90256743,CARVEDILOL - GENERICO 25 MG. 2 BL. X 15 CPRS.,CARVEDILOL 25mg,EMS,1.8661
90383214,CARVEDILOL - GENERICO 25 MG. 2 BL. X 15 CPRS. NOVA,CARVEDILOL 25mg,QUIMICA,1.8661
90384067,CARVEDILOL - GENERICO 25 MG. 2 BL. X 15 CPRS.,CARVEDILOL 25mg,GERMED,1.8661
90388151,CARVEDILOL - GENERICO 25 MG. 2 BL. X 15 CPRS. GEN -,CARVEDILOL 25mg,LEGRAND,1.8661
90256751,CARVEDILOL - GENERICO 25 MG. 4 BL. X 15 CPRS.,CARVEDILOL 25mg,EMS,1.6845
90384075,CARVEDILOL - GENERICO 25 MG. 4 BL. X 15 CPRS.,CARVEDILOL 25mg,GERMED,1.6845
90284011,CARVEDILOL - GENERICO 25 MG. 4 BL. X 15 CPRS. GEN -,CARVEDILOL 25mg,LEGRAND,1.6845
90125703,CARVEDILOL - GENERICO 25 MG. BL. 15 CPRS.,CARVEDILOL 25mg,BIOSINTETICA,2.083
90125711,CARVEDILOL - GENERICO 25 MG. BL. 30 CPRS.,CARVEDILOL 25mg,BIOSINTETICA,1.8721
90242394,CARVEDILOL - GENERICO 25 MG. BL. 30 CPRS.,CARVEDILOL 25mg,ACCORD,2.5161
90256735,CARVEDILOL - GENERICO 25 MG. BL. X 15 CPRS.,CARVEDILOL 25mg,EMS,2.0237
90275594,CARVEDILOL - GENERICO 25 MG. BL. X 15 CPRS. NOVA,CARVEDILOL 25mg,QUIMICA,2.0237
90261950,CARVEDILOL - GENERICO 25 MG. CT. BL. AL/AL X 30 CPRS.,CARVEDILOL 25mg,TORRENT,1.6027
90256689,"CARVEDILOL - GENERICO 3,125 MG. 2 BL. X 15 CPRS.",CARVEDILOL 3.12mg,EMS,0.8245
90383184,"CARVEDILOL - GENERICO 3,125 MG. 2 BL. X 15 CPRS. NOVA",CARVEDILOL 3.12mg,QUIMICA,0.8245
90384008,"CARVEDILOL - GENERICO 3,125 MG. 2 BL. X 15 CPRS.",CARVEDILOL 3.12mg,GERMED,0.8245
90388100,"CARVEDILOL - GENERICO 3,125 MG. 2 BL. X 15 CPRS. GEN -",CARVEDILOL 3.12mg,LEGRAND,0.8245
90384016,"CARVEDILOL - GENERICO 3,125 MG. 4 BL. X 15 CPRS.",CARVEDILOL 3.12mg,GERMED,0.744
90125720,"CARVEDILOL - GENERICO 3,125 MG. BL. 15 CPRS.",CARVEDILOL 3.12mg,BIOSINTETICA,1.2353
90125738,"CARVEDILOL - GENERICO 3,125 MG. BL. 30 CPRS.",CARVEDILOL 3.12mg,BIOSINTETICA,0.8242
90256670,"CARVEDILOL - GENERICO 3,125 MG. BL. X 15 CPRS.",CARVEDILOL 3.12mg,EMS,1.236
90275527,"CARVEDILOL - GENERICO 3,125 MG. BL. X 15 CPRS. NOVA",CARVEDILOL 3.12mg,QUIMICA,1.236
90388097,"CARVEDILOL - GENERICO 3,125 MG. BL. X 15 CPRS. GEN -",CARVEDILOL 3.12mg,LEGRAND,1.236
90256700,"CARVEDILOL - GENERICO 6,25 MG. 2 BL. X 15 CPRS.",CARVEDILOL 6.25mg,EMS,0.959
90383192,"CARVEDILOL - GENERICO 6,25 MG. 2 BL. X 15 CPRS. NOVA",CARVEDILOL 6.25mg,QUIMICA,0.959
90384024,"CARVEDILOL - GENERICO 6,25 MG. 2 BL. X 15 CPRS.",CARVEDILOL 6.25mg,GERMED,0.959
90388127,"CARVEDILOL - GENERICO 6,25 MG. 2 BL. X 15 CPRS. GEN -",CARVEDILOL 6.25mg,LEGRAND,0.959
90384032,"CARVEDILOL - GENERICO 6,25 MG. 4 BL. X 15 CPRS.",CARVEDILOL 6.25mg,GERMED,0.8659
90125746,"CARVEDILOL - GENERICO 6,25 MG. BL. 15 CPRS.",CARVEDILOL 6.25mg,BIOSINTETICA,1.388
90125754,"CARVEDILOL - GENERICO 6,25 MG. BL. 30 CPRS.",CARVEDILOL 6.25mg,BIOSINTETICA,0.9587
90256697,"CARVEDILOL - GENERICO 6,25 MG. BL. X 15 CPRS.",CARVEDILOL 6.25mg,EMS,1.3887
90275543,"CARVEDILOL - GENERICO 6,25 MG. BL. X 15 CPRS. NOVA",CARVEDILOL 6.25mg,QUIMICA,1.3887
90388119,"CARVEDILOL - GENERICO 6,25 MG. BL. X 15 CPRS. GEN -",CARVEDILOL 6.25mg,LEGRAND,1.3887
90261917,"CARVEDILOL - GENERICO 6,25 MG. CT. BL. AL/AL X 30 CPRS.",CARVEDILOL 6.25mg,TORRENT,0.8202
90015630,CASODEX 50 MG. 28 CPRS.,CASODEX 50mg,ASTRAZENECA,24.683
90369378,"CASPACIL 2,5% SHAMPOO FR. 100 ML",CASPACIL 2.5mg,CAZI,64.68
90169565,CATAFLAM (*) 50 MG. 10 DG.,CATAFLAM 50mg,NOVARTIS,1.398
90169573,CATAFLAM (*) 50 MG. 20 DRAGS.,CATAFLAM 50mg,NOVARTIS,1.4005
90169590,CATAFLAM (*) D 20 CPRS.,CATAFLAM 20mg,NOVARTIS,1.377
90169557,CATAFLAM (*) GTS. FR. 20 ML.,CATAFLAM 20mg,NOVARTIS,16.48
90252950,CATAFLAMPRO EMULGEL 150 G,CATAFLAMPRO 150000mg,GLAXOSMITHKLINE,33.37
90252926,CATAFLAMPRO EMULGEL 30 G,CATAFLAMPRO 30000mg,GLAXOSMITHKLINE,10.1
